pk,model,content_type,object_id
52,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",214
57,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",797
15,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",830
58,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",713
29,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",832
44,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",208
2,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",904
35,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",200
60,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",901
26,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",64
37,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",899
43,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",882
63,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",791
53,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",41
55,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",867
56,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",872
30,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",90
3,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",725
21,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",723
50,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",734
17,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",780
39,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",877
1,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",890
5,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",828
22,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",201
69,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",865
64,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",846
14,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",878
38,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",902
25,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",897
48,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",1
34,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",898
59,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",868
23,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",887
36,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",894
12,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",740
70,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",781
7,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",69
28,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",874
45,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",862
42,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",876
46,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",896
6,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",831
10,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",881
8,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",885
33,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",880
61,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",818
24,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",843
20,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",864
32,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",122
68,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",903
13,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",891
11,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",888
31,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",875
40,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",105
49,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",866
62,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",900
66,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",835
27,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",905
18,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",45
47,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",825
4,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",213
19,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",860
9,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",114
16,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",889
54,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",720
41,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",886
51,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",782
65,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",70
67,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",823
71,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",92
72,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",78
73,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",739
74,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",842
75,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",870
76,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",845
77,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",884
78,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",863
79,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",63
80,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",20
81,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",768
82,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",893
83,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",212
84,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",837
85,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",695
86,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",790
87,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",826
88,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",119
89,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",197
90,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",985
91,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",206
92,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",77
93,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",869
94,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",892
95,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",879
96,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",859
97,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",883
98,facebook_feeds.facebook_feed_generic,"[u'mks', u'member']",871
